,aID,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,   ,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content,whole_art,word
132115,3226,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊,大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊,"['大陸', '東莞', '工廠', '駐', '客人', '開發', '採購', '品管', '下班', '喝酒', '應酬', '客人', '周', '外加', '評鑑', '客人', '外國人', '到訪', '周', '晚上', '應酬', '場合', '在乎', '下班', '時間', '小時', '情況', '感覺', '閒', '下班', '走留', '大陸', '8成', '主管', '一半', '經理', '等級', '禮數', '做好', '好聊', '代表', '成為', '朋友', '公司', '內部', '制度', '不錯', '系統面', '資料', '輸入面', '偏向', '客人', '本來', '中午', '午休', '分鐘', '客人', '反應', 'HR', '客人', '早點', '下班', '客人', '新增', 'excel', '追蹤表', '開會', '被迫', '同意', '內容', '周', '客戶', '開會', '定期', '報表', '大陸', '工廠', 'ADIDAS', '住宿', '不錯', '乾濕', '分離', '洗衣', '共用', '專人', '打掃', '外賣', '方便', '遠', '一點', '加', '錢', '好吃', '海外', '生活', '麻煩', '台籍', '自己人', '普遍', '年齡', '高', '朋友', '跳脫', '工作', '圈', '好聊', '代表', '私聊']"
132358,3227,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點.","官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.。傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點.","['官僚', '派系', '鬥爭', '嚴重', '處理', '問題', '處理', '事情', '困難', '有關係', '沒關係', '沒關係', '有關係', '採購', '工作', '內容', '挑戰', '直接', '擔任', '主管', '越南', '語言', '溝通', '相對', '挑戰', '事情', '周一', '周六', '上班', '較少', '國定', '假期', '習慣', '台灣', '雙休', '建議', '傳統產業', '學習', '溝通', '協商', '重要', '事情', '本職', '工作', '技能', '需要', '持續', '鍛鍊', '海外', '工作', '歷練', '日常', '工作', '文化', '背景', '同仁', '學習', '重點']"
132454,3228,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國",外派責任制 跟著工廠出缺勤。考績廠長打 工作包山包海。對內外稽核很多 也有一個月兩次大稽核。環保局安堅嚴查 行政中心也會固定稽核。教育訓練完善 升遷看考績。外派來說52休8 機票六張可出國也可回家。以前沒有特休現在有 外派加給依地區而異。越南很差 但伙食很好 要選要選印尼 假多。自己煮vila 越南課級以上才一人一間。大陸在縮廠了 可能會被調動別國,"['外派', '責任制', '工廠', '缺勤', '考績', '廠長', '工作', '包山包海', '內外', '稽核', '稽核', '環保局', '安堅', '嚴查', '行政', '中心', '固定', '稽核', '教育訓練', '完善', '升遷', '考績', '外派', '休', '機票', '出國', '回家', '特休', '現在', '外派', '加給', '地區', '越南', '差', '伙食', '選', '選', '印尼', '假', '煮', 'vila', '越南', '課級', '大陸', '縮廠', '調動', '國']"
132558,3229,開發業務,寶成工業股份有限公司,2023.04.02,全職,臺北,65-66k,940-950k,100k,60k,,,還算愉快,常常加班,11 hr,5,7,"1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。
2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。","擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。

長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔",1.如果是初入鞋業的人可以在寶成學到相對完整的製程知識，畢竟公司花了很多成本在配合品牌的策略。2.開發業務工作忙碌，白天內部開會統整型體的技術問題點、掌握開發轉量產進度、掌控鞋型材料測試品質等等，下班前則是將進度回覆給客戶。擔任開發業務可以學到很多 時間壓力也相對高 算是很有成就感。長期外派工作也是要考慮家庭照顧 朋友疏離的問題 唯一的優點是存錢比較快 吃住成本公司都吸收負擔,"['鞋業', '寶成', '相對', '完整', '製程', '知識', '公司', '成本', '配合', '品牌', '策略', '開發', '業務', '工作', '忙碌', '白天', '內部', '開會', '統整', '型體', '技術', '問題點', '掌握', '開發', '轉量產', '進度', '掌控', '鞋型', '材料', '測試', '品質', '下班', '進度', '回覆給', '客戶', '擔任', '開發', '業務', '學到', '時間', '壓力', '相對', '高', '成就感', '長期', '外派', '工作', '考慮', '家庭', '照顧', '朋友', '疏離', '問題', '唯一', '優點', '存錢', '成本', '公司', '吸收', '負擔']"
132655,3230,報價人員,寶成工業股份有限公司,2023.04.02,全職,彰化,,,,,,,想換工作了,偶爾加班,8 hr,3,4,"工作環境：
辦公室環...",若想找一份穩定工作的...,工作環境：。辦公室環。若想找一份穩定工作的,"['工作環境', '辦公室', '穩定', '工作']"
132666,3231,管理師,寶成工業股份有限公司,2023.03.26,全職,臺中,,,,,,,還算愉快,很少加班,9 hr,1,1,還可以 不常加班，內...,公司制度完善，升遷管...,還可以 不常加班，內。公司制度完善，升遷管,"['還可以', '加班', '公司', '制度', '完善', '升遷']"
132676,3232,品保課長,寶成工業股份有限公司,2023.03.17,全職,臺北,80-81k,1060-1070k,100k,,,,有苦說不出,偶爾加班,9 hr,3,10,"東南亞鞋子工廠
海外公務員
忍受長期在窮鄉僻壤生活
同事多為大陸和印尼人
少部分的台灣同事而且離職率很高
鞋子品質有好有壞
品保最終目標就是把鞋子全部出貨","年輕的大學碩士畢業生
如果在台灣沒什麼機會
可以考慮出國拼個五年再打算
有些人適應良好
長期在海外定居了
大部分人則是拼個幾年
再出國進修或跳槽吧",東南亞鞋子工廠。海外公務員。忍受長期在窮鄉僻壤生活。同事多為大陸和印尼人。少部分的台灣同事而且離職率很高。鞋子品質有好有壞。品保最終目標就是把鞋子全部出貨。年輕的大學碩士畢業生。如果在台灣沒什麼機會。可以考慮出國拼個五年再打算。有些人適應良好。長期在海外定居了。大部分人則是拼個幾年。再出國進修或跳槽吧,"['東南亞', '鞋子', '工廠', '海外', '公務員', '忍受', '長期', '窮鄉僻壤', '生活', '同事', '大陸', '印尼人', '少', '台灣', '同事', '離職', '高', '鞋子', '品質', '壞', '品保', '最終', '目標', '鞋子', '出貨', '年輕', '大學', '碩士', '畢業', '台灣', '機會', '考慮', '出國', '拼', '適應', '良好', '長期', '海外', '定居', '大部分', '拼', '出國進修', '跳槽']"
132761,3233,日文品保,寶成工業股份有限公司,2023.03.13,全職,臺北,70-71k,840-850k,,,,,想換工作了,賣肝拼經濟,12 hr,2,9,"日文品保(駐印尼)對應日本客人的品保，客人駐廠

先講好的 : 
公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區
薪資部分整體算高，但沒有加班費

待改善的 : 
加班加到死","畢竟是傳產中的傳產
依照這幾年的經驗是流動率很高
有外語專長的也要看看自己的身體能不能承受高工時
傳產就是用生命在換錢
年輕一點可以嘗試看看",日文品保(駐印尼)對應日本客人的品保，客人駐廠。先講好的 : 。公司環境吃住都很不錯，周末會派車載去比較熱鬧的市區。薪資部分整體算高，但沒有加班費。待改善的 : 。加班加到死。畢竟是傳產中的傳產。依照這幾年的經驗是流動率很高。有外語專長的也要看看自己的身體能不能承受高工時。傳產就是用生命在換錢。年輕一點可以嘗試看看,"['日文品', '保駐', '印尼', '對應', '日本', '客人', '品保', '客人', '駐', '公司', '環境', '不錯', '周末', '派', '車', '載去', '熱鬧', '市區', '薪資', '高', '加班費', '改善', '加班', '加', '死', '傳產', '傳產', '經驗', '流動率', '高', '外語', '專長', '身體', '承受', '高工時', '傳產', '生命', '錢', '年輕', '一點', '嘗試']"
132848,3234,針車員,寶成工業股份有限公司,2023.02.28,全職,彰化,,,,,,,想換工作了,準時上下班,8 hr,1,1,公司的員工手冊是滿滿...,針車員大多是婆婆媽媽...,公司的員工手冊是滿滿。針車員大多是婆婆媽媽,"['公司', '員工', '手冊', '滿滿', '針車員', '婆婆媽媽']"
132858,3235,化工工程師,寶成工業股份有限公司,2023.02.23,全職,臺北,80-81k,1060-1070k,75k,2500,25k,3500,有苦說不出,很少加班,8 hr,6,6,"駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。

宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。

現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。","內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。

如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。",駐東南亞，基本代工大品牌運動鞋，主要負責底部品(中、大底)的開發打樣和對應開發客人，同時服導量產上線和處理量產問題。宿舍在廠區內，有人洗衣掃地，三餐尚可，基本如104上說的。現在基本跟台灣紅字休假天數一致，特休符合台灣勞基法，每年6張來回台灣機票，未使用完充公不能換錢，注意越南所得稅金需自己繳(從每個月美金薪資自動扣除)，由公司代繳。內部派系辦公室政治嚴重，組織肥大效率十分不佳，做人比做事重要，向上管理能力吃重。如果是理工科畢的有志青年建議勿入邪(鞋)途，待在台灣走電子或半導體未來性遠比這產業好。,"['駐', '東南亞', '代工', '品牌', '運動鞋', '負責', '底部品', '大底', '開發', '打樣', '對應', '開發', '客人', '服導', '量產', '上線', '處理', '量產', '問題', '宿舍', '廠區', '洗衣', '掃地', '餐', '尚可', '104', '現在', '台灣', '紅字', '休假', '天數', '一致', '特休', '符合', '台灣', '勞基法', '台灣', '機票', '未', '使用完', '充公', '錢', '注意', '越南', '所得稅金', '需', '繳從', '美金', '薪資', '自動', '扣除', '公司', '代繳', '內部', '派系', '辦公室', '政治', '嚴', '重組', '織', '肥大', '效率', '十分', '不佳', '做人', '重要', '管理', '能力', '吃重', '理工', '科畢', '有志', '青年', '建議', '勿', '鞋途', '待在', '台灣', '電子', '半導體', '未來性', '遠', '產業']"
132987,3236,PMQA,寶成工業股份有限公司,2023.02.17,全職,臺北,71-72k,950-960k,100k,,,,想換工作了,賣肝拼經濟,12 hr,2,2,"(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。
工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)
上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。
每年六趟返台機票","工時非常長，返台期間也有可能會需要處理公事，無加班費。
若非常介意工時的人需要審慎考慮。
公司餐廳提供三餐，食宿都不用額外付費。",(印尼廠)外派於印尼工作，主要處理品牌客戶與工廠之間的各種品質相關案件處理。工廠無冷氣(辦公室要看是寫字樓裡還是現場，現場的幾乎沒有冷氣)。上班時間：07:00～通常要18:00以後才能下班，回宿舍後也經常需要寫品質報告。週六上半天班。每年六趟返台機票。工時非常長，返台期間也有可能會需要處理公事，無加班費。若非常介意工時的人需要審慎考慮。公司餐廳提供三餐，食宿都不用額外付費。,"['印尼', '外派', '印尼', '工作', '處理', '品牌', '客戶', '工廠', '之間', '品質', '相關', '案件', '處理', '工廠', '冷氣', '辦公室', '寫字樓', '現場', '現場', '冷氣', '上班', '時間', '通常', '下班', '宿舍', '需要', '品質', '報告', '週六', '趟', '返台', '機票', '工時', '返台', '期間', '需要', '處理', '公事', '加班費', '介意', '工時', '需要', '審慎', '考慮', '公司', '餐廳', '提供', '餐', '食宿', '不用', '額外', '付費']"
133090,3237,開發、技轉,寶成工業股份有限公司,2023.02.17,全職,臺北,66-67k,800-810k,12k,3000,,,還算愉快,偶爾加班,9 hr,3,3,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。
所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。
工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。",如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。,"這是我當時還是新鮮人的薪水（底薪30,000+海外津貼等等），分紅的部分如果是在大品牌的鞋廠景氣好的花一個月約可以拿到三千以上。所有品牌鞋廠跟海外幹部宿舍跟餐廳都在一個地方，很像一個工業區的感覺。工作內容只要肯學沒什麼大問題，主要是跟（尤其是對岸的）同事/下屬之間的溝通要配合彼此個性。如果你想體驗不一樣的文化跟生活，可以試試看外派，但傳產有些陋習要先了解。剛畢業來到這裡一開始蠻不適應的，主要是在於很多其他的海外幹部顛覆三觀，還有應酬文化很深，如果不喜歡被灌酒或跟主管用酒博感情，要做好坐冷板凳的準備。","['新鮮人', '薪水', '底薪', '海外', '津貼', '分紅', '品牌', '鞋廠', '景氣', '品牌', '鞋廠', '海外', '幹部', '宿舍', '餐廳', '地方', '工業區', '感覺', '工作', '內容', '肯', '問題', '尤其', '對岸', '同事', '下屬', '之間', '溝通', '配合', '個性', '體驗', '文化', '生活', '外派', '傳產', '陋習', '畢業', '來到', '不適', '海外', '幹部', '顛覆', '應酬', '文化', '深', '不喜歡', '灌酒', '主管', '酒博', '感情', '做好', '坐', '冷板凳', '準備']"
133231,3238,技術襄理,寶成工業股份有限公司,2023.02.11,全職,臺北,100-101k,1350-1360k,150k,,,,有苦說不出,賣肝拼經濟,10 hr,5,13,"海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。
是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。",我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。,海外越南工作，主要工作鞋廠的IE主管，工作環境就是在現場，要能忍受酷熱的越南夏天，福利的部分是還不錯，但就是副協理以上的大主管，部分廠區會比較硬，要能忍受被屌還有超多報告PPT要做。是住宿的地方還不錯，餐廳吃得還可以，有清潔阿姨會幫忙打掃房間以及洗衣服。我覺得如果是新人要來寶成歷練是可以的，畢竟寶成是大公司，訓練鞋業的資訊與技術是蠻健全的，相較於如果要去其他鞋業的小廠，但公司文化可能要先能習慣。,"['海外', '越南', '工作', '工作', '鞋廠', 'IE', '主管', '工作環境', '現場', '忍受', '酷熱', '越南', '夏天', '福利', '不錯', '副協理', '主管', '廠區', '硬', '忍受', '報告', 'PPT', '住宿', '地方', '不錯', '餐廳', '還可以', '清潔', '阿姨', '幫忙', '打掃', '房間', '洗衣服', '新人', '寶成', '歷練', '寶成', '大公司', '訓練', '鞋業', '資訊', '技術', '健全', '相較', '鞋業', '公司', '文化', '習慣']"
133345,3239,文管人員,寶成工業股份有限公司,2023.02.06,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,位於彰化，薪水不高所...,穩定無壓力的工作，但...,位於彰化，薪水不高所。穩定無壓力的工作，但,"['位於', '彰化', '薪水', '高', '穩定', '壓力', '工作']"
133357,3240,副課長,寶成工業股份有限公司,2023.01.16,全職,臺北,75-76k,900-910k,,,,,還算愉快,很少加班,8 hr,1,1,"外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的
公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐
阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服","福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的
周圍好多人隨便一問年資就是十年, 八年起跳的
喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合","外派寶成越南的公司, 公司提供單人宿舍(有雙人床, 小台電視, 書桌椅和衣櫃) 其餘東西需自行採購, 譬如說冰箱, 大台電視機, 鍋碗瓢盆有喜歡自己煮食物來吃的。公司提供三餐, 個人是覺得伙食不錯也豐盛, 但見仁見智, 可以讓你吃飽的; 台幹全是自助餐。阿姨會幫忙打掃房間1.3.5打掃, 也會幫忙洗衣服。福利制度健全的公司, 不會讓你大富大貴, 但也不會讓你餓著; 基本上想要近來做到退休都沒有問題的。周圍好多人隨便一問年資就是十年, 八年起跳的。喜歡穩定的人可以做到退休, 喜歡嘗試挑戰與新事物的也是可以進來工作看看自己適不適合","['外派', '寶成', '越南', '公司', '公司', '提供', '單人', '宿舍', '雙人床', '小台', '電視', '書桌椅', '衣櫃', '東西', '需', '自行', '採購', '譬如說', '冰箱', '大台', '電視機', '鍋碗', '瓢盆', '喜歡', '煮', '食物', '公司', '提供', '餐', '伙食', '不錯', '豐盛', '見仁見智', '吃飽', '台幹', '自助餐', '阿姨', '幫忙', '打掃', '房間', '135', '打掃', '幫忙', '洗衣服', '福利', '制度', '健全', '公司', '大富', '大貴', '餓', '做到', '退休', '問題', '周圍', '好多', '隨便', '年資', '起跳', '喜歡', '穩定', '做到', '退休', '喜歡', '嘗試', '挑戰', '事物', '工作', '不適']"
133491,3241,大陸四職等小主管,寶成工業股份有限公司,2023.01.10,全職,臺北,68-69k,930-940k,120k,,,,平常心,常常加班,10 hr,1,3,"大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。

公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。",大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊,大陸東莞工廠有不少駐廠客人，只要是開發或採購或品管都會很長要在下班後喝酒應酬客人，約2周一次，外加幾乎每個月都會有評鑑客人或外國人到訪，所以可以說是每周晚上幾乎都有應酬場合。這邊很在乎下班時間過1小時內就走的情況(感覺你很閒)，所以下班最好自己默默走，留在大陸的8成都是4階以上的主管，其中一半以上都是經理等級所以自己禮數要做好，有些人很好聊不代表會成為朋友。公司內部制度是很不錯的，系統面資料輸入面，但非常偏向客人，例如本來中午午休90分鐘，被客人反應後剩下1HR，因為客人想早點下班。亦或是客人說要新增一個excel追蹤表就會在開會中被迫同意，但裡面部分內容可能在每周和客戶開會的定期報表裡就有。大陸只剩兩間工廠都做ADIDAS，住宿非常不錯約8坪乾濕分離，洗衣共用，專人打掃，叫外賣也方便，但是遠一點加錢的比較好吃。一樣，海外生活麻煩的就是台籍自己人，這邊普遍年齡偏高約35左右，所以要交朋友要跳脫工作圈，因為好聊的人不代表可以私聊,"['大陸', '東莞', '工廠', '駐', '客人', '開發', '採購', '品管', '下班', '喝酒', '應酬', '客人', '周', '外加', '評鑑', '客人', '外國人', '到訪', '周', '晚上', '應酬', '場合', '在乎', '下班', '時間', '小時', '情況', '感覺', '閒', '下班', '走留', '大陸', '8成', '主管', '一半', '經理', '等級', '禮數', '做好', '好聊', '代表', '成為', '朋友', '公司', '內部', '制度', '不錯', '系統面', '資料', '輸入面', '偏向', '客人', '本來', '中午', '午休', '分鐘', '客人', '反應', 'HR', '客人', '早點', '下班', '客人', '新增', 'excel', '追蹤表', '開會', '被迫', '同意', '內容', '周', '客戶', '開會', '定期', '報表', '大陸', '工廠', 'ADIDAS', '住宿', '不錯', '乾濕', '分離', '洗衣', '共用', '專人', '打掃', '外賣', '方便', '遠', '一點', '加', '錢', '好吃', '海外', '生活', '麻煩', '台籍', '自己人', '普遍', '年齡', '高', '朋友', '跳脫', '工作', '圈', '好聊', '代表', '私聊']"
133734,3242,資材主管,寶成工業股份有限公司,2023.04.23,全職,臺北,65-66k,910-920k,130k,,,,有苦說不出,常常加班,10 hr,2,2,"官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.","傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點.","官僚派系鬥爭嚴重, 處理人的問題比處理事情困難,有關係就是沒關係,沒關係就是有關係. 採購工作內容反倒不是太大挑戰,因為直接擔任主管,又身處越南,語言溝通變成相對挑戰的事情. 周一至周六都上班,且較少國定假期,習慣在台灣雙休的,不建議過來.。傳統產業學習與人溝通協商是最重要的事情. 當然本職工作技能還是需要持續鍛鍊, 海外工作歷練除了日常工作,如何與不同文化背景的同仁也是學習的重點.","['官僚', '派系', '鬥爭', '嚴重', '處理', '問題', '處理', '事情', '困難', '有關係', '沒關係', '沒關係', '有關係', '採購', '工作', '內容', '挑戰', '直接', '擔任', '主管', '越南', '語言', '溝通', '相對', '挑戰', '事情', '周一', '周六', '上班', '較少', '國定', '假期', '習慣', '台灣', '雙休', '建議', '傳統產業', '學習', '溝通', '協商', '重要', '事情', '本職', '工作', '技能', '需要', '持續', '鍛鍊', '海外', '工作', '歷練', '日常', '工作', '文化', '背景', '同仁', '學習', '重點']"
133830,3243,環安衛組長,寶成工業股份有限公司,2023.04.14,全職,臺北,33-34k,830-840k,66k,2000,10k,360k,平常心,常常加班,10 hr,3,3,"外派責任制 跟著工廠出缺勤
考績廠長打 工作包山包海
對內外稽核很多 也有一個月兩次大稽核
環保局安堅嚴查 行政中心也會固定稽核
教育訓練完善 升遷看考績","外派來說52休8 機票六張可出國也可回家
以前沒有特休現在有 外派加給依地區而異
越南很差 但伙食很好 要選要選印尼 假多
自己煮vila 越南課級以上才一人一間
大陸在縮廠了 可能會被調動別國",外派責任制 跟著工廠出缺勤。考績廠長打 工作包山包海。對內外稽核很多 也有一個月兩次大稽核。環保局安堅嚴查 行政中心也會固定稽核。教育訓練完善 升遷看考績。外派來說52休8 機票六張可出國也可回家。以前沒有特休現在有 外派加給依地區而異。越南很差 但伙食很好 要選要選印尼 假多。自己煮vila 越南課級以上才一人一間。大陸在縮廠了 可能會被調動別國,"['外派', '責任制', '工廠', '缺勤', '考績', '廠長', '工作', '包山包海', '內外', '稽核', '稽核', '環保局', '安堅', '嚴查', '行政', '中心', '固定', '稽核', '教育訓練', '完善', '升遷', '考績', '外派', '休', '機票', '出國', '回家', '特休', '現在', '外派', '加給', '地區', '越南', '差', '伙食', '選', '選', '印尼', '假', '煮', 'vila', '越南', '課級', '大陸', '縮廠', '調動', '國']"
